FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,,
De Novo Generation,De Novo Generation,3D,
De Novo Generation,De Novo Generation,3D,
De Novo Generation,De Novo Generation,3D,
De Novo Generation,De Novo Generation,Binding Affinity,
De Novo Generation,De Novo Generation,Chemical-space specific,
De Novo Generation,De Novo Generation,Diffusion,
De Novo Generation,De Novo Generation,LLM,
De Novo Generation,De Novo Generation,Multiobjective,
De Novo Generation,De Novo Generation,Multiobjective,
De Novo Generation,De Novo Generation,Multiobjective,
De Novo Generation,De Novo Generation,Polypharmacology,
De Novo Generation,De Novo Generation,Scaffold Hopping,
De Novo Generation,Linker Generation,,
De Novo Generation,Linker Generation,,
De Novo Generation,Linker Generation,,
De Novo Generation,Linker Generation,,
De Novo Generation,Linker Generation,,
De Novo Generation,Molecular Optimisation,Bioisosteres,Database Mining Approach
De Novo Generation,Molecular Optimisation,Bioisosteres,Machine-Learning
De Novo Generation,Molecular Optimisation,Bioisosteres,Machine-Learning
De Novo Generation,Protein Pocket Generation,Models,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Reviews,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,,
De Novo Generation,Target Aware De Novo Generation,Active-learning,
De Novo Generation,Target Aware De Novo Generation,Benchmarks,
De Novo Generation,Target Aware De Novo Generation,Benchmarks,
De Novo Generation,Target Aware De Novo Generation,Benchmarks,
De Novo Generation,Target Aware De Novo Generation,Benchmarks,
De Novo Generation,Target Aware De Novo Generation,Diffusion,
De Novo Generation,Target Aware De Novo Generation,Diffusion,
De Novo Generation,Target Aware De Novo Generation,Diffusion,
De Novo Generation,Target Aware De Novo Generation,Diffusion,
De Novo Generation,Target Aware De Novo Generation,Diffusion,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Docking-based,
De Novo Generation,Target Aware De Novo Generation,Dual-target,
De Novo Generation,Target Aware De Novo Generation,Fragment-based,
De Novo Generation,Target Aware De Novo Generation,Interaction fingerprint constrained,
De Novo Generation,Target Aware De Novo Generation,Language Model,
De Novo Generation,Target Aware De Novo Generation,PROTACs,
De Novo Generation,Target Aware De Novo Generation,Pharmacophore,
De Novo Generation,Target Aware De Novo Generation,Physics-based generation,
De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,
De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,
De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,
De Novo Generation,Target Aware De Novo Generation,Protein-ligand interactions,
De Novo Generation,Target Aware De Novo Generation,RAG,
De Novo Generation,Target Aware De Novo Generation,Reviews,
De Novo Generation,Target Aware De Novo Generation,Reviews,
De Novo Generation,Target Aware De Novo Generation,Reviews,
De Novo Generation,Target Aware De Novo Generation,Reviews,
De Novo Generation,Target Aware De Novo Generation,Scaffold Hopping,
De Novo Generation,Target Aware De Novo Generation,Scaffold Hopping,
De Novo Generation,Target Aware De Novo Generation,Scaffold Hopping,
De Novo Generation,Target Aware De Novo Generation,Sequence-based,
De Novo Generation,Tools,Expert Feedback,
Decoy Generation,Decoy Generation,,
Decoy Generation,Decoy Generation,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,FBDD,,
FBDD,Fragment Growing,,
FBDD,Fragment library generation,,
FBDD,Linker Design,,
FBDD,Linker Design,,
FBDD,Toolkits,,
General Tools,Chemical Format Translation,,
General Tools,Chemical Format Translation,,
General Tools,Chemical Format Translation,,
General Tools,Chemical Format Translation,,
General Tools,Chemical Format Translation,,
General Tools,Cheminformatics,,
General Tools,Cheminformatics,,
General Tools,Cheminformatics,Chemical Formulas,
General Tools,Cheminformatics,Coordinates,
General Tools,Cheminformatics,Java,
General Tools,Cheminformatics,Java,
General Tools,Cheminformatics,NMR,
General Tools,Cheminformatics,Other,
General Tools,Cheminformatics,Other,
General Tools,Cheminformatics,Other,
General Tools,Cheminformatics,PDB,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,Python,
General Tools,Cheminformatics,QM,
General Tools,Cheminformatics,QM,
General Tools,Cheminformatics,Reaction Tools,
General Tools,Cheminformatics,Standalone,
General Tools,Cheminformatics,Workflow Managers,
General Tools,Fingerprints,,
General Tools,Fingerprints,Protein-ligand interaction fingerprints,
General Tools,Pricing,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Python Libraries,,
General Tools,Reviews,,
HTS Analysis,HTS Analysis,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,2D,,
Ligand-based Virtual Screening,3D,,
Ligand-based Virtual Screening,3D,,
Ligand-based Virtual Screening,3D,,
Ligand-based Virtual Screening,3D,,
Ligand-based Virtual Screening,3D,,
Ligand-based Virtual Screening,Color Similarity,,
Ligand-based Virtual Screening,Drug-target interaction screening,,
Ligand-based Virtual Screening,Drug-target interaction screening,,
Ligand-based Virtual Screening,Drug-target interaction screening,,
Ligand-based Virtual Screening,Drug-target interaction screening,,
Ligand-based Virtual Screening,GPU,,
Ligand-based Virtual Screening,Hybrid,,
Ligand-based Virtual Screening,Precomputed Libraries,,
Ligand-based Virtual Screening,Shape Similarity,,
Ligand-based Virtual Screening,Similarity calculations,,
Ligand-based Virtual Screening,Similarity calculations,,
Ligand-based Virtual Screening,Similarity calculations,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,,
ML+AI,Active Learning,Reviews,
ML+AI,Automatic Model Selection,,
ML+AI,Automatic Model Selection,,
ML+AI,Automatic Model Selection,,
ML+AI,Automatic Model Selection,,
ML+AI,Automatic Model Selection,,
ML+AI,Automatic Model Selection,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Courses,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,,
ML+AI,Few shot learning,LLM,
ML+AI,Foundational Models,,
ML+AI,Foundational Models,Chemical Language Model,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Important Papers,,
ML+AI,Interactive Modelling,,
ML+AI,ML Models,,
ML+AI,ML Models,NN,PGN
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,ML+AI frameworks for chemistry,,
ML+AI,Other,,
ML+AI,Reviews,,
ML+AI,Reviews,,
ML+AI,Reviews,,
ML+AI,Reviews,,
ML+AI,Reviews,,
ML+AI,Reviews,,
Molecular Dynamics,Automated Workflows,,
Molecular Dynamics,Automated Workflows,,
Molecular Dynamics,Automated Workflows,,
Molecular Dynamics,Automated Workflows,Ligand Stability,
Molecular Dynamics,Coarse-Grained,,
Molecular Dynamics,Coarse-Grained,,
Molecular Dynamics,Coarse-Grained,,
Molecular Dynamics,Coarse-Grained,,
Molecular Dynamics,Coarse-Grained,Force Fields,
Molecular Dynamics,Databases,,
Molecular Dynamics,Forcefields,Machine-Learning Forcefields,
Molecular Dynamics,Free Energy Calculations,,
Molecular Dynamics,Free Energy Calculations,,
Molecular Dynamics,Free Energy Calculations,Accelerated,
Molecular Dynamics,Free Energy Calculations,Benchmarks,
Molecular Dynamics,Free Energy Calculations,Benchmarks,
Molecular Dynamics,Free Energy Calculations,Classical,
Molecular Dynamics,Free Energy Calculations,Classical,
Molecular Dynamics,Free Energy Calculations,Classical,
Molecular Dynamics,Free Energy Calculations,Classical,
Molecular Dynamics,Free Energy Calculations,Classical,
Molecular Dynamics,Free Energy Calculations,Classical,
Molecular Dynamics,Free Energy Calculations,Classical,
Molecular Dynamics,Free Energy Calculations,Guides,
Molecular Dynamics,Free Energy Calculations,ML-enabled,
Molecular Dynamics,Free Energy Calculations,Planning,
Molecular Dynamics,Free Energy Calculations,Thermodynamics Ensemble,
Molecular Dynamics,Free Energy Calculations,Tools,
Molecular Dynamics,Generation of biomolecular environment,,
Molecular Dynamics,Implicit Solvation,ML,
Molecular Dynamics,Libraries,,
Molecular Dynamics,Libraries,,
Molecular Dynamics,Libraries,,
Molecular Dynamics,Libraries,Analysis,
Molecular Dynamics,Libraries,Analysis,
Molecular Dynamics,Libraries,Preparation,
Molecular Dynamics,Libraries,Refinement,
Molecular Dynamics,Ligand topology generation,,
Molecular Dynamics,ML Potentials,,
Molecular Dynamics,MMGBSA + MMPBSA,,
Molecular Dynamics,MMGBSA + MMPBSA,,
Molecular Dynamics,MMGBSA + MMPBSA,,
Molecular Dynamics,MMGBSA + MMPBSA,,
Molecular Dynamics,MMGBSA + MMPBSA,,
Molecular Dynamics,MMGBSA + MMPBSA,Classical,
Molecular Dynamics,MMGBSA + MMPBSA,Classical,
Molecular Dynamics,Metadynamics,Analysis Tools,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,,
Molecular Dynamics,Molecular Dynamics Engines,Interoperable,
Molecular Dynamics,Molecular Dynamics Engines,ML-enabled,
Molecular Dynamics,Molecular Dynamics Engines,ML-enabled,
Molecular Dynamics,Molecular Dynamics Engines,ML-enabled,
Molecular Dynamics,Molecular Dynamics Engines,ML-enabled,
Molecular Dynamics,Molecular Dynamics Engines,ML-enabled,
Molecular Dynamics,Molecular Dynamics Engines,Water,
Molecular Dynamics,Residence Time,,
Molecular Dynamics,Tutorials,,
Molecule Representations,Binary,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,,
Molecule Representations,Descriptors,3D,
Molecule Representations,Descriptors,Drug-Likeness,
Molecule Representations,Descriptors,Drug-Likeness,
Molecule Representations,Descriptors,Fragment-Based Descriptors,
Molecule Representations,Descriptors,From MD Simulations,
Molecule Representations,Descriptors,Functional Groups,
Molecule Representations,Descriptors,QM,
Molecule Representations,Descriptors,Synthetic Accessibility,
Molecule Representations,Descriptors,Synthetic Accessibility,
Molecule Representations,Descriptors,Synthetic Accessibility,
Molecule Representations,Descriptors,Synthetic Accessibility,
Molecule Representations,Descriptors,Synthetic Accessibility,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,,
Molecule Representations,Fingerprints,3D,
Molecule Representations,Fingerprints,Protein-ligand interaction fingerprints,
Molecule Representations,Fingerprints,Protein-ligand interaction fingerprints,
Molecule Representations,Fingerprints,Protein-ligand interaction fingerprints,
Molecule Representations,Fingerprints,Protein-ligand interaction fingerprints,
Molecule Representations,Fingerprints,Protein-ligand interaction fingerprints,
Molecule Representations,Fingerprints,Protein-ligand interaction fingerprints,
Molecule Representations,Fingerprints,Protein-ligand interaction fingerprints,
Molecule Representations,Hybrid,String-Graph Hybrid,
Molecule Representations,ML+AI,General,
Molecule Representations,ML+AI,General,
Molecule Representations,ML+AI,Transformer,SELFIES
Molecule Representations,ML+AI,Transformer,SMILES
Molecule Representations,Other Representations,,
Molecule Representations,Other Representations,,
Molecule Representations,Other Representations,,
Molecule Representations,Strings,Other Representations,
Molecule Representations,Strings,SMARTS-related,
Molecule Representations,Strings,SMARTS-related,
Molecule Representations,Strings,SMILES-related,
Molecule Representations,Strings,SMILES-related,
Molecule Representations,Strings,SMILES-related,
Molecule Representations,Strings,SMILES-related,
Molecule Representations,Vector,,
Molecule Representations,Wrappers for several representations,,
Molecule Representations,Wrappers for several representations,,
Optical Structure Recognition,Optical Structure Recognition,,
Optical Structure Recognition,Optical Structure Recognition,,
Optical Structure Recognition,Optical Structure Recognition,,
Optical Structure Recognition,Optical Structure Recognition,,
Optical Structure Recognition,Optical Structure Recognition,,
Optical Structure Recognition,Optical Structure Recognition,,
Optical Structure Recognition,Optical Structure Recognition,,
Optical Structure Recognition,Optical Structure Recognition,,
Other,Other,,
Other,Other,,
Other,Other,,
Other,Other,,
Other,Other,,
Other,Other,,
Other,Other,,
Other,Other,Nomenclature,
Pharmacophore,Pharmacophore,,
Pharmacophore,Pharmacophore,De Novo Generation,
Pharmacophore,Pharmacophore,From Apo Protein,
Pharmacophore,Pharmacophore,From Apo Protein,
Pharmacophore,Pharmacophore,From MD Simulations,
Pharmacophore,Pharmacophore,From MD Simulations,
Pharmacophore,Pharmacophore,From MD Simulations,
Pharmacophore,Pharmacophore,Python,
Pharmacophore,Pharmacophore,Python,
Pharmacophore,Pharmacophore,Python,
