ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON
TocoDDB,,https://doi.org/10.1021/acs.jmedchem.3c00801,,http://cadd.zju.edu.cn/tocodecoy/,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,Topology-Based and Conformation-Based Decoys Database: An Unbiased Online Database for Training and Benchmarking Machine-Learning Scoring Functions,,,,,2,Journal of Medicinal Chemistry,6.8,simple/abbrobotstudio
TocoDecoy,https://github.com/5AGE-zhang/TocoDecoy,https://doi.org/10.1021/acs.jmedchem.2c00460,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,A new approach to design unbiased datasets for training and benchmarking machine-learning scoring functions.,12,2022-04-14T13:53:37Z,33 months ago,,21,Journal of Medicinal Chemistry,6.8,simple/abbrobotstudio
Uni-Dock-Benchmarks,https://github.com/dptech-corp/Uni-Dock-Benchmarks,,,,Benchmark Datasets,Docking and Scoring Function Benchmarks,,,,9,2025-02-10T10:41:51Z,0 months ago,,,,,simple/abbrobotstudio
MISATO,,https://doi.org/10.1038/s43588-024-00627-2,,https://zenodo.org/records/7711953,Benchmark Datasets,Molecular Dynamics,,,machine learning dataset of protein–ligand complexes for structure-based drug discovery,,,,,13,Nature Computational Science,12,fontawesome/brands/mdb
PLAS-5k,,,,https://hai.iiit.ac.in/datasets.html,Benchmark Datasets,Molecular Dynamics,,,Dataset of Protein-Ligand Affinities from Molecular Dynamics for Machine Learning Applications (5000 protein-ligand complexes) (dataset).,,,,,,,,fontawesome/brands/mdb
Polaris,,,,https://polarishub.io/datasets?accessTypes=public&certifiedOnly=true,Benchmark Datasets,Multiple endpoints,,,benchmarking platform for drug discovery,,,,,,,,material/database
Therapeutics Data Commons,,,,https://tdcommons.ai/,Benchmark Datasets,Multiple endpoints,,,"Therapeutics Data Commons is a resource to access and evaluate AI methods, supporting the development of AI methods, with a strong bent towards establishing the foundation of which AI methods are most suitable for drug discovery applications and why.",,,,,,,,material/database
WelQRate,,https://doi.org/10.48550/arXiv.2411.09820,,http://welqrate.org/,Benchmark Datasets,Multiple endpoints,,,Gold Standard in Small Molecule Drug Discovery Benchmarking,,,,,0,,,material/database
AIRCHECK,,,,https://aircheck.ai/datasets,Benchmark Datasets,Protein-Ligand Interaction,DEL,,,,,,,,,,material/tray-full
BindingDB,,https://doi.org/10.1093/nar/gk,,https://www.bindingdb.org/bind/index.jsp,Benchmark Datasets,Protein-Ligand Interaction,,,"BindingDB contains data for over 1.2 million compounds and 9.2k targets, supporting research, education, and practice in drug discovery, pharmacology, and related fields.",,,,,0,,,material/tray-full
BindingNet,https://github.com/hnlab/BindingNet,https://doi.org/10.1021/acs.jcim.3c01170,,http://bindingnet.huanglab.org.cn/,Benchmark Datasets,Protein-Ligand Interaction,,,"BindingNet is a dataset for analyzing protein-ligand interactions, containing modeled poses for compounds similar to the crystal ligands found in PDBbind, along with corresponding activities from ChEMBL.",23,2024-07-03T10:48:33Z,6 months ago,,4,Journal of Chemical Information and Modeling,5.6,material/tray-full
BioLip2,,https://doi.org/10.1093/nar/gkad630,,https://zhanggroup.org/BioLiP/index.cgi,Benchmark Datasets,Protein-Ligand Interaction,,,"BioLiP is a semi-manually curated database for high-quality, biologically relevant ligand-protein binding interactions, aiming to serve the needs of ligand-protein docking, virtual ligand screening, and protein function annotation.",,,,,53,Nucleic Acids Research,16.6,material/tray-full
BioLip2-Opt,https://github.com/THGLab/PDBBind-Opt,https://doi.org/10.48550/arXiv.2411.01223,,https://figshare.com/collections/PDBBind_Optimization_to_Create_a_High-Quality_Protein-Ligand_Binding_Dataset_for_Binding_Affinity_Prediction/7520133/1,Benchmark Datasets,Protein-Ligand Interaction,,,High-Quality Protein-Ligand Binding Dataset for Binding Affinity Prediction,26,2025-01-15T03:01:36Z,0 months ago,,0,,,material/tray-full
Leak Proof PDBBind,https://github.com/THGLab/LP-PDBBind,https://doi.org/10.7554/elife.07454.017,,https://github.com/THGLab/LP-PDBBind,Benchmark Datasets,Protein-Ligand Interaction,,,"This work presents a cleaned PDBBind dataset of non-covalent binders, reorganized to avoid data leakage, allowing for more generalizable binding affinity prediction.",38,2024-01-29T22:15:35Z,11 months ago,,0,,,material/tray-full
PDBBind,,https://doi.org/10.1021/acs.accounts.6b00491,,http://pdbbind.org.cn/,Benchmark Datasets,Protein-Ligand Interaction,,,Forging the Basis for Developing Protein–Ligand Interaction Scoring Functions,,,,,344,Accounts of Chemical Research,16.4,material/tray-full
PDBBind+,,,,https://www.pdbbind-plus.org.cn/,Benchmark Datasets,Protein-Ligand Interaction,,,,,,,Commercial,,,,material/tray-full
PDBBind-CleanSplit,https://github.com/camlab-ethz/GEMS,https://doi.org/10.1101/2024.12.09.627482,,https://doi.org/10.5281/zenodo.14260171,Benchmark Datasets,Protein-Ligand Interaction,,,refined training dataset based on PDBbind that minimizes data leakage,21,2024-12-17T08:45:07Z,1 months ago,,0,,,material/tray-full
PDBBind-Opt,https://github.com/THGLab/PDBBind-Opt,https://doi.org/10.48550/arXiv.2411.01223,,https://figshare.com/collections/PDBBind_Optimization_to_Create_a_High-Quality_Protein-Ligand_Binding_Dataset_for_Binding_Affinity_Prediction/7520133/1,Benchmark Datasets,Protein-Ligand Interaction,,,PDBBind Optimization to Create a High-Quality Protein-Ligand Binding Dataset for Binding Affinity Prediction,26,2025-01-15T03:01:36Z,0 months ago,,0,,,material/tray-full
PDBscreen,,,,https://zenodo.org/records/8049380,Benchmark Datasets,Protein-Ligand Interaction,,,PDBscreen provides a dataset with multiple data augmentation strategies suitable for training protein-ligand interaction prediction methods.,,,,,,,,material/tray-full
PLAS-20K,,https://doi.org/10.1038/s41597-023-02872-y,,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/64cca66569bfb8925a5514c5/original/plas-20k-extended-dataset-of-protein-ligand-affinities-from-md-simulations-for-machine-learning-applications.pdf,Benchmark Datasets,Protein-Ligand Interaction,,,PLAS-20k: Extended Dataset of Protein-Ligand Affinities from MD Simulations for Machine Learning Applications,,,,,10,Scientific Data,5.8,material/tray-full
PLINDER,https://github.com/plinder-org/plinder,https://doi.org/10.1101/2024.07.17.603955,,,Benchmark Datasets,Protein-Ligand Interaction,,,"the largest and most annotated dataset to date, comprising 449,383 PLI systems, each with over 500 annotations, similarity metrics at protein, pocket, interaction and ligand levels, and paired unbound (apo) and predicted structures",209,2025-02-17T12:39:51Z,0 months ago,,10,,,material/tray-full
SIU,https://github.com/bowen-gao/SIU,https://doi.org/10.48550/arXiv.2406.08961,,https://huggingface.co/datasets/bgao95/SIU,Benchmark Datasets,Protein-Ligand Interaction,,,Million-Scale Structural Small Molecule-Protein Interaction Dataset for Unbiased Bioactivity Prediction,4,2025-02-17T06:53:53Z,7 months ago,,0,,,material/tray-full
Binding Affinity Prediction: From Conventional to Machine Learning-Based Approaches,,https://doi.org/10.1021/acs.jcim.0c01415.s001,,,Binding Affinity Prediction,Reviews,,,Binding Affinity Prediction: From Conventional to Machine Learning-Based Approaches,,,,,0,,,material/message-draw
InterPro,,https://doi.org/10.1093/nar%2Fgkae1082,https://www.ebi.ac.uk/interpro,,Bioinformatics,Sequence Family Classification,,,resource for the classification of protein sequences into families,,,,,18,Nucleic Acids Research,16.6,material/crowd
CACHE,,,,https://cache-challenge.org/,CADD Challenges,CADD Challenges,,,Critical Assessment of Computational Hit-Finding Experiments,,,,,,,,material/podium-gold
CASF,,https://doi.org/10.1021/acs.jcim.8b00545,,,CADD Challenges,CADD Challenges,,,Comparative Assessment of Scoring Functions,,,,,501,Journal of Chemical Information and Modeling,5.6,material/podium-gold
CASP,,,,https://predictioncenter.org/,CADD Challenges,CADD Challenges,,,Critical Assessment of protein Structure Prediction,,,,,,,,material/podium-gold
MAINFRAME,,,,https://aircheck.ai/mainframe,CADD Challenges,CADD Challenges,,,Global Open Science Machine Learning Network for Drug Discovery,,,,,,,,material/podium-gold
Fsees,,https://doi.org/10.1021/acs.jcim.6b00117,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/fsees.html,Chemical Space,Chemical library generation,Fragment Library Enumeration,,efficient method for exhaustively enumerating all molecules within a certain molecular subspace,,,,,6,Journal of Chemical Information and Modeling,5.6,material/database-plus
ChemoDOTS,https://github.com/iSCBTeam/ChemoDOTS,https://doi.org/10.1093/nar/gkae326,https://chemodots.marseille.inserm.fr/,,Chemical Space,Chemical library generation,,,"designed to build focused chemical libraries, starting from a user-specified hit fragment, using chemistry-driven approach and according to the growing strategy encountered in Fragment-Based Drug Discovery",0,2024-03-06T18:23:41Z,10 months ago,,0,Nucleic Acids Research,16.6,material/database-plus
MolFinder,https://github.com/duaibeom/MolFinder,https://doi.org/10.1186/s13321-021-00501-7,,,Chemical Space,Chemical library generation,,,an evolutionary algorithm for the global optimization of molecular properties and the extensive exploration of chemical space using SMILES (standalone),4,2021-03-23T12:24:25Z,46 months ago,,38,Journal of Cheminformatics,7.1,material/database-plus
SpaceCompare,,https://doi.org/10.1021/acs.jcim.1c01378,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/spacecompare.html,Chemical Space,Chemical Space Comparison,,,Comparison of Combinatorial Fragment Spaces,,,,,25,Journal of Chemical Information and Modeling,5.6,material/select-compare
CHEESE,,https://doi.org/10.26434/chemrxiv-2024-cswth,,https://cheese-docs.deepmedchem.com/,Chemical Space,Chemical Space Search,,,,,,,,0,,,material/search-web
infiniSee,,,,https://www.biosolveit.de/products/infinisee/,Chemical Space,Chemical Space Search,,,Chemical Space navigation platform,,,,,,,,material/search-web
Space searching in RDKit,,,,https://greglandrum.github.io/rdkit-blog/posts/2024-12-03-introducing-synthon-search.html,Chemical Space,Chemical Space Search,,,Searching unreasonably large chemical spaces in reasonable amounts of time.,,,,,,,,material/search-web
SpaceLight,,https://doi.org/10.1021/acs.jcim.0c00850,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/spacelight.html,Chemical Space,Chemical Space Search,,,Topological Similarity Search in Large Combinatorial Fragment Spaces,,,,,35,Journal of Chemical Information and Modeling,5.6,material/search-web
SpaceMACS,,https://doi.org/10.1021/acs.jcim.1c00640,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/spacemacs.html,Chemical Space,Chemical Space Search,,,Maximum Common Substructure Searching in Combinatorial Make-on-Demand Compound Spaces,,,,,37,Journal of Chemical Information and Modeling,5.6,material/search-web
USearch,https://github.com/ashvardanian/usearch-molecules,,,,Chemical Space,Chemical Space Search,,,,73,2024-03-24T06:02:11Z,,,,,,material/search-web
Dedenser,https://github.com/MSDLLCpapers/dedenser,https://doi.org/10.1021/acs.jcim.4c01980,,,Chemical Space,Clustering,,,Clustering and Downsampling Chemical Libraries,10,2025-02-12T21:56:06Z,,,0,Journal of Chemical Information and Modeling,5.6,material/set-merge
HamDiv,https://github.com/HXYfighter/HamDiv,https://doi.org/10.1186/s13321-024-00883-4,,,Chemical Space,Diversity Determination,,,effectively measuring molecular diversity by shortest Hamiltonian circuits,7,2024-06-26T15:42:28Z,6 months ago,,0,Journal of Cheminformatics,7.1,material/account-multiple-outline
Schapira et al.,,https://doi.org/10.1016/j.sbi.2024.102812,,https://www.sciencedirect.com/science/article/pii/S0959440X24000393?via%3Dihub,Chemical Space,Reviews,,,Emerging structure-based computational methods to screen the exploding accessible chemical space,,,,,6,Current Opinion in Structural Biology,6.1,material/message-draw
ChemPlot,https://github.com/mcsorkun/ChemPlot,https://doi.org/10.1002/cmtd.202200005,,,Chemical Space,Visualisation,,,python library for chemical space visualization,138,2024-12-17T13:11:13Z,1 months ago,,35,Chemistry–Methods,6.1,material/cctv
CIME,https://github.com/jku-vds-lab/cime,https://doi.org/10.1186/s13321-022-00600-z,,,Chemical Space,Visualisation,,,allows users to interactively explore a fixed subspace of chemical compounds,33,2022-04-19T07:07:19Z,33 months ago,,18,Journal of Cheminformatics,7.1,material/cctv
Datagrok,,,,"https://datagrok.ai/help/datagrok/solutions/domains/chem/#chemical-space
https://datagrok.ai/help/datagrok/solutions/domains/chem/#structure-relationship-analysis",Chemical Space,Visualisation,,,Chemical space visualisations in Datagrok,,,,,,,,material/cctv
MolCompass,https://github.com/sergsb/molcomplib,https://doi.org/10.1186/s13321-024-00888-z,,,Chemical Space,Visualisation,,,multi-tool for the navigation in chemical space and visual validation of QSAR|QSPR models,3,2024-08-13T08:40:12Z,5 months ago,,0,Journal of Cheminformatics,7.1,material/cctv
Datagrok Bio,,,,"https://github.com/datagrok-ai/public/blob/74ca4a65d75f75f8bdadc84ecd399bc93d5a419c/packages/Bio/README.md#notations
https://github.com/datagrok-ai/public/blob/4b6dfb43d88d3cb43ea587841a14e77cdea55b43/packages/Chem/README.md#molecular-format-conversion
https://datagrok.ai/help/datagrok/solutions/domains/bio/oligo-toolkit#nucleotide-batch-conversion",Cheminformatics,Chemical Format Translation,,,Chemical format translation in Datagrok,,,,,,,,material/translate-variant
Meeko,https://github.com/forlilab/Meeko,https://doi.org/10.1017/qrd.2022.18,,,Cheminformatics,Chemical Format Translation,,,preparation of small molecules for AutoDock suite (.pdbqt format).,230,2024-11-18T23:15:45Z,2 months ago,,7,QRB Discovery,,material/translate-variant
NAOMI,,https://doi.org/10.1021/ci200324e,,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/naomi.html,Cheminformatics,Chemical Format Translation,,,"consistent conversion of common chemical file formats (SDF, SMILES, MOL2)",,,,,54,Journal of Chemical Information and Modeling,5.6,material/translate-variant
