ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,PAGE_ICON
Standardized-smiles,https://gist.github.com/jvansan/e331ac29c00806c993b3709ad8d11fce,,,,Compound Library Handling,Molecule Preparation,Standardization,,Python script to standardize small molecules (use RDKIT) (standalone).,,,,,,material/database-sync
MolTaut,https://github.com/xundrug/moltaut,,http://moltaut.xundrug.cn/,,Compound Library Handling,Molecule Preparation,Tautomer Generation,,A Tool for the Rapid Generation of Favorable Tautomer in Aqueous Solution (compound preparation) (standalone).,16.0,02/2023,19 months ago,,,material/database-sync
Graph-pKa,,doi:10.1093/bioinformatics/btab714,,https://pka.simm.ac.cn/en/,Compound Library Handling,Molecule Preparation,pKa,,Multi-instance learning of graph neural networks for aqueous pKa prediction (online),,,,,27.0,material/database-sync
Balloon,,https://doi.org/10.1021/ci6005646,,http://users.abo.fi/mivainio/balloon/,Conformer Generation,Classical,,,tools to predict 3D structure of small molecules (standalone).,,,,,321.0,material/rotate-3d
confgen-webapp,https://github.com/Et9797/confgen-webapp,,http://confgen.net/,,Conformer Generation,Classical,,,"A simple web application for generating small ligand conformers for docking purposes using RDKit, accessible at **[http://confgen.net](http://confgen.net/)**.",5.0,11/2023,10 months ago,,,material/rotate-3d
Conformator,,https://doi.org/10.1021/acs.jcim.8b00704,,https://www.zbh.uni-hamburg.de/forschung/amd/software/conformator.html,Conformer Generation,Classical,,,a novel method for the Generation of Conformer Ensembles (standalone).,,,,,50.0,material/rotate-3d
Conformer-Search,https://github.com/mcsorkun/Conformer-Search,,,,Conformer Generation,Classical,,,This repository outlines a workflow for searching minimum energy conformers based on force field optimization methods (UFF and MMFF94) using RDKit.,9.0,05/2020,52 months ago,,,material/rotate-3d
Frog2,,,https://mobyle2.rpbs.univ-paris-diderot.fr/cgi-bin/portal.py#forms::Frog2,http://mobyle.rpbs.univ-paris-diderot.fr/cgi-bin/portal.py#welcome,Conformer Generation,Classical,,,standalone and online.,,,,,,material/rotate-3d
PrepFlow,,https://doi.org/doi.org/10.1002/minf.202100139,,https://ifm.chimie.unistra.fr/prepflow,Conformer Generation,Classical,,,A Toolkit for Chemical Library Preparation and Management for Virtual Screening (not 3D per se) (standalone).,,,,,5.0,material/rotate-3d
smi2sdf3d,https://github.com/UnixJunkie/smi2sdf3d,https://doi.org/10.1021/ci2004658,,,Conformer Generation,Classical,,,3D diverse conformers generation using rdkit (Python) (standalone).,21.0,03/2022,30 months ago,,175.0,material/rotate-3d
GuideMol,https://github.com/jairesdesousa/guidemol,https://doi.org/10.1002/minf.202300190,,,Conformer Generation,Classical,,,A tool for guiding molecular design through machine learning models.,10.0,01/2024,7 months ago,,1.0,material/rotate-3d
Auto3D,https://github.com/isayevlab/Auto3D_pkg,https://doi.org/10.1021/acs.jcim.2c00817,,,Conformer Generation,ML+AI,,,Automatic Generation of the Low-energy 3D Structures with ANI Neural Network Potentials (standalone).,144.0,08/2024,0 months ago,,24.0,simple/adobeillustrator
ConfGF,https://github.com/DeepGraphLearning/ConfGF,https://doi.org/10.48550/arXiv.2105.03902,,,Conformer Generation,ML+AI,,,"ConfGF, as introduced in ICML 2021, learns gradient fields for molecular conformation generation, featuring an official implementation for their methodology.",159.0,09/2021,35 months ago,,0.0,simple/adobeillustrator
Conformer-RL,https://github.com/ZimmermanGroup/conformer-rl,,,,Conformer Generation,ML+AI,,,An open-source deep reinforcement learning library for conformer generation.,18.0,02/2023,19 months ago,,,simple/adobeillustrator
COSMIC,https://github.com/insilicomedicine/COSMIC,https://doi.org/10.1021/acs.jcim.3c00989,,,Conformer Generation,ML+AI,,,,2.0,04/2024,4 months ago,,0.0,simple/adobeillustrator
diffusion-conformer,https://github.com/nobiastx/diffusion-conformer,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01816,,,Conformer Generation,ML+AI,,,Physics-informed generative model for drug-like molecule conformers,33.0,03/2024,5 months ago,,0.0,simple/adobeillustrator
DMCG,https://github.com/DirectMolecularConfGen/DMCG,https://doi.org/10.48550/arXiv.2202.01356,,,Conformer Generation,ML+AI,,,"DMCG, featured in TMLR2022, is focused on direct molecular conformation generation, supporting both small-scale and large-scale GEOM datasets.",46.0,10/2022,22 months ago,,0.0,simple/adobeillustrator
GeoDiff,https://github.com/MinkaiXu/GeoDiff,https://doi.org/10.48550/arXiv.2203.02923,,,Conformer Generation,ML+AI,,,"GeoDiff introduces a geometric diffusion model aimed at generating molecular conformations, as detailed in their ICLR 2022 presentation.",320.0,05/2023,16 months ago,,0.0,simple/adobeillustrator
GeoMol,https://github.com/PattanaikL/GeoMol,https://doi.org/10.48550/arXiv.2106.07802,,,Conformer Generation,ML+AI,,,Torsional Geometric Generation of Molecular 3D Conformer Ensembles (standalone).,152.0,02/2022,31 months ago,,0.0,simple/adobeillustrator
GINGER,,,https://www.molsoft.com/gingerdemo.html,,Conformer Generation,ML+AI,,,,,,,,,simple/adobeillustrator
Gypsum-DL,https://github.com/durrantlab/gypsum_dl/,https://doi.org/10.1186/s13321-019-0358-3,,https://durrantlab.pitt.edu/gypsum-dl/,Conformer Generation,ML+AI,,,"Gypsum-DL is a software that transforms 1D and 2D small-molecule representations into 3D models, considering various isomeric and conformational states.",38.0,10/2023,11 months ago,,48.0,simple/adobeillustrator
TensorVAE,https://github.com/yuh8/TensorVAE,,,,Conformer Generation,ML+AI,,,,0.0,08/2023,13 months ago,,,simple/adobeillustrator
Uni-Mol,https://github.com/deepmodeling/Uni-Mol,https://openreview.net/forum?id=6K2RM6wVqKu,,,Conformer Generation,ML+AI,,,"Uni-Mol offers a universal 3D molecular pretraining framework, enhancing representation capacity and scope in drug design with superior performance in multiple prediction tasks.",656.0,09/2024,0 months ago,,,simple/adobeillustrator
McNutt et al.,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01245,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01245,Conformer Generation,Reviews,,,,,,,,7.0,material/message-draw
Wang et al.,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01519,,https://pubs.acs.org/doi/10.1021/acs.jcim.3c01519,Conformer Generation,Reviews,,,,,,,,3.0,material/message-draw
cctbx,https://github.com/cctbx/cctbx_project,,,https://cctbx.github.io/,Crystallography,Crystallography,,,,215.0,09/2024,0 months ago,,,fontawesome/solid/radiation
qFIT,https://github.com/ExcitedStates/qfit-3.0,https://doi.org/10.7554/eLife.90606,,,Crystallography,Crystallography,,,qFit is a collection of programs for modeling multi-conformer protein structures.,35.0,05/2024,3 months ago,,1.0,fontawesome/solid/radiation
chembl_downloader,https://github.com/cthoyt/chembl-downloader,,,,Dataset Mining,Chemical,,,"A Python package designed to automatically download and extract versions of the ChemBL database, simplifying data access for research purposes.",65.0,01/2024,7 months ago,,,material/pickaxe
chembl_tools,https://github.com/mgalardini/chembl_tools,,,,Dataset Mining,Chemical,,,"A collection of scripts to leverage the ChemBL API for retrieving information on compounds, including ChEMBL IDs and target information.",9.0,11/2018,71 months ago,,,material/pickaxe
drugbank-downloader,https://github.com/cthoyt/drugbank_downloader,,,,Dataset Mining,Chemical,,,,33.0,09/2023,11 months ago,,,material/pickaxe
pubchempy,,,,http://pubchempy.readthedocs.io/en/latest/,Dataset Mining,Chemical,,,,,,,,,material/pickaxe
Papyrus,https://github.com/OlivierBeq/Papyrus-scripts?tab=readme-ov-file,https://doi.org/10.1186/s13321-022-00672-x,,,Dataset Mining,Chemical,,,Collection of scripts to interact with the Papyrus bioactivity dataset.,18.0,04/2024,5 months ago,,16.0,material/pickaxe
CPIExtract,https://github.com/menicgiulia/CPIExtract,https://doi.org/10.1101/2024.07.03.601957,,,Dataset Mining,Chemical,Protein-ligand interaction,,,7.0,08/2024,0 months ago,,0.0,material/pickaxe
Lemon,https://github.com/chopralab/lemon,https://doi.org/10.1093/bioinformatics/btz178).,,,Dataset Mining,Protein Structures,PDB,,"A framework for rapidly mining structural information from the Protein Data Bank, designed to be fast and flexible for querying 3D features of structures.",52.0,05/2020,52 months ago,,0.0,material/pickaxe
Computation-ADME,https://github.com/molecularinformatics/Computational-ADME,,,,Datasets,ADMET,,,,67.0,02/2024,6 months ago,,,material/needle
ChemBL,,https://doi.org/10.1093/nar/gkr777,,https://www.ebi.ac.uk/chembl/,Datasets,Chemical,,,"A manually curated database of bioactive molecules with drug-like properties, integrating chemical, bioactivity, and genomic data to aid drug discovery.",,,,,2925.0,material/molecule
ChemMine,,https://doi.org/10.1104/pp.105.062687,,http://chemminedb.ucr.edu/,Datasets,Chemical,,,"A compound mining portal to facilitate drug and agrochemical discovery, offering chemical genomics screens and a toolbox for cheminformatics research.",,,,,51.0,material/molecule
ChemSpider,,https://doi.org/10.1021/ed100697w,,http://www.chemspider.com/,Datasets,Chemical,,,commercially-available compounds,,,,,833.0,material/molecule
DrugBank,,https://doi.org/10.1093%2Fnar%2Fgkm958,,https://go.drugbank.com/,Datasets,Chemical,,,"Offers structured drug information, including emerging research and novel connections, to support drug discovery, clinical software, and academic research.",,,,,2101.0,material/molecule
DrugMAP,,https://doi.org/10.1093/nar/gkac813,,https://idrblab.org/drugmap/,Datasets,Chemical,,,a comprehensive structural resource of protein complexes (online),,,,,52.0,material/molecule
GDB-17,,https://doi.org/10.1021/ci300415d,,https://gdb.unibe.ch/downloads/,Datasets,Chemical,,,The GDB-17 database represents a comprehensive collection of hypothetical organic molecules for use in computational chemistry and drug discovery.,,,,,923.0,material/molecule
PubChem,,https://doi.org/10.1093/nar/gkac956,,https://pubchem.ncbi.nlm.nih.gov/,Datasets,Chemical,,,"The world's largest collection of freely accessible chemical information, offering chemical and physical properties, biological activities, safety and toxicity information, patents, literature citations, and more.",,,,,1004.0,material/molecule
Open Reaction Database,https://github.com/open-reaction-database/ord-schema,https://doi.org/10.1021/jacs.1c09820,,https://docs.open-reaction-database.org/en/latest/,Datasets,Chemical Reactions,,,"open access chemical reaction database to support machine learning and related efforts in reaction prediction, chemical synthesis planning, and experiment design",93.0,08/2024,0 months ago,,144.0,fontawesome/solid/flask-vial
eMolecules,,,,https://www.emolecules.com/,Datasets,Commercial Libraries,,,commercially-available compounds,,,,,,material/currency-usd
MCULE,,,,https://mcule.com/database/,Datasets,Commercial Libraries,,,Commercial compound collection (online),,,,,,material/currency-usd
Molport,,,,https://www.molport.com/shop/index,Datasets,Commercial Libraries,,,commercially-available compounds,,,,,,material/currency-usd
Zinc,,https://doi.org/10.1021/acs.jcim.0c00675,,http://zinc15.docking.org/,Datasets,Commercial Libraries,,,a free database of commercially-available compounds,,,,,411.0,material/currency-usd
ZINC Express,,https://doi.org/10.1021/acs.jcim.0c00675,,https://zincexpress.mml.unc.edu/,Datasets,Commercial Libraries,,,A Virtual Assistant for Purchasing Compounds Annotated in the ZINC Database (online),,,,,411.0,material/currency-usd
ZINC20,,https://doi.org/10.1021/acs.jcim.0c00675,,http://zinc20.docking.org/,Datasets,Commercial Libraries,,,,,,,,411.0,material/currency-usd
BigBind and BayesBind,https://github.com/molecularmodelinglab/bigbind,https://doi.org/10.1021/acs.jcim.3c01211,,,Datasets,Docking and Scoring Function Benchmarks,,,,16.0,04/2024,5 months ago,,4.0,material/bench-back
CASF,,https://doi.org/10.1021/acs.jcim.8b00545,,http://www.pdbbind.org.cn/casf.php,Datasets,Docking and Scoring Function Benchmarks,,,"CASF offers benchmark packages for the assessment of scoring functions, with versions CASF-2016, CASF-2013, and CASF-2007 available for download upon registration.",,,,,410.0,material/bench-back
DEKOIS,,https://doi.org/10.1021/ci2001549,,http://www.pharmchem.uni-tuebingen.de/dekois/,Datasets,Docking and Scoring Function Benchmarks,,,"Provides DEKOIS 2.0, a library of benchmark data sets for objective in silico screening.",,,,,67.0,material/bench-back
Disco,,http://disco.csb.pitt.edu/Targets_top1.php?ligands,,,Datasets,Docking and Scoring Function Benchmarks,,,A default benchmark containing 95 targets selected from the DUD-E Targets list for docking datasets generation.,,,,,,material/bench-back
Lit-PCBA,,https://doi.org/10.1021/acs.jcim.0c00155,,https://drugdesign.unistra.fr/LIT-PCBA/index.html,Datasets,Docking and Scoring Function Benchmarks,,,"A dataset for virtual screening and machine learning with 15 target sets, 7761 actives, and 382674 unique inactives selected from high-confidence PubChem Bioassay data.",,,,,109.0,material/bench-back
MF-PCBA,https://github.com/davidbuterez/mf-pcba,https://doi.org/10.1021/acs.jcim.2c01569,,,Datasets,Docking and Scoring Function Benchmarks,,,"A repository containing code for downloading, filtering, and assembling the MF-PCBA datasets for machine learning in drug discovery.",23.0,05/2023,16 months ago,,8.0,material/bench-back
MUDB-DecoyMaker2.0,https://github.com/jwxia2014/MUBD-DecoyMaker2.0,https://doi.org/10.1002/minf.201900151,,,Datasets,Docking and Scoring Function Benchmarks,,,A Python GUI application to generate maximal unbiased benchmarking sets data sets for virtual drug screening.,3.0,10/2023,10 months ago,,10.0,material/bench-back
TocoDDB,,https://doi.org/10.1021/acs.jmedchem.3c00801,,http://cadd.zju.edu.cn/tocodecoy/,Datasets,Docking and Scoring Function Benchmarks,,,,,,,,2.0,material/bench-back
TocoDecoy,https://github.com/5AGE-zhang/TocoDecoy,,,,Datasets,Docking and Scoring Function Benchmarks,,,A new approach to design unbiased datasets for training and benchmarking machine-learning scoring functions.,12.0,04/2022,29 months ago,,,material/bench-back
D-COID,,https://doi.org/10.17632/8czn4rxz68.1,,https://data.mendeley.com/datasets/8czn4rxz68/1,Datasets,Docking and Scoring Function Benchmarks,,,Dataset of Congruent Inhibitors and Decoys,,,,,0.0,material/bench-back
DrugCentral,,https://doi.org/10.1007/s10822-023-00529-x,,https://drugcentral.org/,Datasets,Drugs,,,"DrugCentral provides information on active ingredients in medicinal substances, offering access to drug labels, FDA and EMA datasets, pharmacological action, and more.",,,,,1.0,material/pill
GproteinDb,,https://dx.doi.org/10.1093/nar/gkx1109,,https://gproteindb.org/,Datasets,GPCRs,,,The G protein database (online),,,,,406.0,material/alpha-g-box
CORAL,https://github.com/dphansti/CORAL,http://dx.doi.org/10.1016/j.cels.2018.07.001,,http://phanstiel-lab.med.unc.edu/CORAL/,Datasets,Kinases,,,Clear and customizable visualization of human kinome data (Kinase) (online),27.0,08/2021,37 months ago,,129.0,material/alpha-k-box
KIBA,,https://doi.org/doi:10.1021/ci400709d,,https://researchportal.helsinki.fi/fi/datasets/kiba-a-benchmark-dataset-for-drug-target-prediction,Datasets,Kinases,,,An integrated drug–target bioactivity matrix across 52498 chemical compounds and 467 kinase targets (dataset),,,,,324.0,material/alpha-k-box
Kinase Atlas,,https://doi.org/10.1021/acs.jmedchem.9b00089,,https://kinase-atlas.bu.edu/,Datasets,Kinases,,,contains solvent mapping results for all kinases in the Protein Data Bank. You can search this database by PDB ID or by UniProt accession number (online),,,,,52.0,material/alpha-k-box
KinaseMD,,https://doi.org/10.1093/nar/gkaa945,,https://bioinfo.uth.edu/kmd/,Datasets,Kinases,,,kinase mutations and drug response database (online),,,,,43.0,material/alpha-k-box
KinBase,,,,http://kinase.com/web/current/kinbase/,Datasets,Kinases,,,kinase (online),,,,,,material/alpha-k-box
KinCoRe,,https://doi.org/10.1101/2023.07.21.550125,,http://dunbrack.fccc.edu/kincore/,Datasets,Kinases,,,"A web resource for protein kinase sequence, structure and phylogeny (online)",,,,,18.0,material/alpha-k-box
KinMap,,https://doi.org/10.1186/s12859-016-1433-7,,http://www.kinhub.org/kinmap/,Datasets,Kinases,,,a web-based tool for interactive navigation through human kinome data (kinase) (online),,,,,231.0,material/alpha-k-box
Kinome Render,,,,http://biophys.umontreal.ca/nrg/resources.html,Datasets,Kinases,,,look at kinase family (standalone),,,,,,material/alpha-k-box
KLIFS,,https://doi.org/10.1093/nar/gkaa895,,https://klifs.vu-compmedchem.nl/,Datasets,Kinases,,,Kinase-Ligand Interaction Fingerprints and Structures database is a database that revolves around the protein structure of catalytic kinase domains and the way kinase inhibitors can interact with them (online database),,,,,87.0,material/alpha-k-box
ProfKin,,https://doi.org/10.1016/j.ejmech.2021.113772,,http://www.lilab-ecust.cn/profkin/,Datasets,Kinases,,,A Comprehensive Web Server for Structure-based Kinase Selectivity Profiling (online),,,,,8.0,material/alpha-k-box
Smiles2Dock,https://github.com/rivas-lab/Smiles2Dock,https://doi.org/10.48550/arXiv.2406.05738,,https://huggingface.co/datasets/tlemenestrel/Smiles2Dock,Datasets,ML-docking training,,,,6.0,06/2024,3 months ago,,0.0,material/database
Therapeutics Data Commons,,,,https://tdcommons.ai/,Datasets,Machine Learning Benchmarks,,,"Therapeutics Data Commons is a resource to access and evaluate AI methods, supporting the development of AI methods, with a strong bent towards establishing the foundation of which AI methods are most suitable for drug discovery applications and why.",,,,,,material/bench-back
Enamine REAL,,,,https://enamine.net/compound-collections/real-compounds/real-database,Datasets,Make on Demand Libraries,,,,,,,,,material/flask-plus
FreedomSpace,,https://doi.org/10.1002/minf.202400114,,https://chem-space.com/compounds/freedom-space,Datasets,Make on Demand Libraries,,,,,,,,0.0,material/flask-plus
ATLAS,,https://doi.org/10.1093/nar/gkad1084,,https://www.dsimb.inserm.fr/ATLAS,Datasets,Molecular Dynamics,,,"Resource for exploring molecular dynamics simulations, offering insights into the dynamics of proteins and other biomolecules.",,,,,10.0,fontawesome/brands/mdb
MISATO,,http://dx.doi.org/10.1038/s43588-024-00627-2,,https://zenodo.org/records/7711953,Datasets,Molecular Dynamics,,,machine learning dataset of protein–ligand complexes for structure-based drug discovery,,,,,3.0,fontawesome/brands/mdb
PLAS-5k,,,,https://hai.iiit.ac.in/datasets.html,Datasets,Molecular Dynamics,,,Dataset of Protein-Ligand Affinities from Molecular Dynamics for Machine Learning Applications (5000 protein-ligand complexes) (dataset).,,,,,,fontawesome/brands/mdb
